pid1, pid2, w, dwdx_x, dwdx_y, dwdx_z
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
32,1,0,0,0,0
33,1,0,0,0,0
34,1,0,0,0,0
35,1,0,0,0,0
36,1,0,0,0,0
37,1,0,0,0,0
38,1,0,0,0,0
39,1,0,0,0,0
40,1,0,0,0,0
41,1,0,0,0,0
32,2,0,0,0,0
33,2,0,0,0,0
34,2,0,0,0,0
35,2,0,0,0,0
36,2,0,0,0,0
37,2,0,0,0,0
38,2,0,0,0,0
39,2,0,0,0,0
40,2,0,0,0,0
41,2,0,0,0,0
42,2,0,0,0,0
1,0,191.4498748779296875,-55915.1953125,-0,-0
2,0,119.87023162841796875,-86672.4609375,-0,-0
3,0,44.46575927734375,-54224.5625,-0,-0
4,0,10.0769443511962890625,-19842.412109375,-0,-0
5,0,0.492343902587890625,-2626.666015625,-0,-0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,3,0,0,0,0
33,3,0,0,0,0
34,3,0,0,0,0
35,3,0,0,0,0
36,3,0,0,0,0
37,3,0,0,0,0
38,3,0,0,0,0
39,3,0,0,0,0
40,3,0,0,0,0
41,3,0,0,0,0
42,3,0,0,0,0
43,3,0,0,0,0
2,1,230.5647125244140625,-124949.6484375,-0,-0
3,1,95.26706695556640625,-120865.2421875,-0,-0
4,1,19.1124134063720703125,-41356.38671875,-0,-0
5,1,0.531775414943695068359375,-3752.00048828125,-0,-0
6,1,0,0,0,0
7,1,0,0,0,0
8,1,0,0,0,0
9,1,0,0,0,0
10,1,0,0,0,0
11,1,0,0,0,0
12,1,0,0,0,0
13,1,0,0,0,0
14,1,0,0,0,0
15,1,0,0,0,0
16,1,0,0,0,0
17,1,0,0,0,0
18,1,0,0,0,0
19,1,0,0,0,0
20,1,0,0,0,0
21,1,0,0,0,0
22,1,0,0,0,0
23,1,0,0,0,0
24,1,0,0,0,0
25,1,0,0,0,0
26,1,0,0,0,0
27,1,0,0,0,0
28,1,0,0,0,0
29,1,0,0,0,0
30,1,0,0,0,0
31,1,0,0,0,0
32,4,0,0,0,0
33,4,0,0,0,0
34,4,0,0,0,0
35,4,0,0,0,0
36,4,0,0,0,0
37,4,0,0,0,0
38,4,0,0,0,0
39,4,0,0,0,0
40,4,0,0,0,0
41,4,0,0,0,0
42,4,0,0,0,0
43,4,0,0,0,0
44,4,0,0,0,0
64,24,0,0,0,0
3,2,242.04119873046875,-169960.578125,-0,-0
4,2,79.88263702392578125,-124553.5859375,-0,-0
5,2,9.61482906341552734375,-29958.017578125,-0,-0
6,2,0,0,0,0
7,2,0,0,0,0
8,2,0,0,0,0
9,2,0,0,0,0
10,2,0,0,0,0
11,2,0,0,0,0
12,2,0,0,0,0
13,2,0,0,0,0
14,2,0,0,0,0
15,2,0,0,0,0
16,2,0,0,0,0
17,2,0,0,0,0
18,2,0,0,0,0
19,2,0,0,0,0
20,2,0,0,0,0
21,2,0,0,0,0
22,2,0,0,0,0
23,2,0,0,0,0
24,2,0,0,0,0
25,2,0,0,0,0
26,2,0,0,0,0
27,2,0,0,0,0
28,2,0,0,0,0
29,2,0,0,0,0
30,2,0,0,0,0
31,2,0,0,0,0
64,25,0,0,0,0
65,25,0,0,0,0
32,5,0,0,0,0
33,5,0,0,0,0
34,5,0,0,0,0
35,5,0,0,0,0
36,5,0,0,0,0
37,5,0,0,0,0
38,5,0,0,0,0
39,5,0,0,0,0
40,5,0,0,0,0
41,5,0,0,0,0
42,5,0,0,0,0
43,5,0,0,0,0
44,5,0,0,0,0
45,5,0,0,0,0
4,3,242.0116119384765625,-169317.09375,-0,-0
5,3,79.14017486572265625,-124580,-0,-0
6,3,8.46750545501708984375,-28078.029296875,-0,-0
7,3,0,0,0,0
8,3,0,0,0,0
9,3,0,0,0,0
10,3,0,0,0,0
11,3,0,0,0,0
12,3,0,0,0,0
13,3,0,0,0,0
14,3,0,0,0,0
15,3,0,0,0,0
16,3,0,0,0,0
17,3,0,0,0,0
18,3,0,0,0,0
19,3,0,0,0,0
20,3,0,0,0,0
21,3,0,0,0,0
22,3,0,0,0,0
23,3,0,0,0,0
24,3,0,0,0,0
25,3,0,0,0,0
26,3,0,0,0,0
27,3,0,0,0,0
28,3,0,0,0,0
29,3,0,0,0,0
30,3,0,0,0,0
31,3,0,0,0,0
128,88,0,0,0,0
64,26,0,0,0,0
65,26,0,0,0,0
66,26,0,0,0,0
32,6,0,0,0,0
33,6,0,0,0,0
34,6,0,0,0,0
35,6,0,0,0,0
36,6,0,0,0,0
37,6,0,0,0,0
38,6,0,0,0,0
39,6,0,0,0,0
40,6,0,0,0,0
41,6,0,0,0,0
42,6,0,0,0,0
43,6,0,0,0,0
44,6,0,0,0,0
45,6,0,0,0,0
46,6,0,0,0,0
96,56,0,0,0,0
5,4,239.9918060302734375,-158915.03125,-0,-0
6,4,81.93090057373046875,-124738.2890625,-0,-0
7,4,9.69275951385498046875,-30092.873046875,-0,-0
8,4,0,0,0,0
9,4,0,0,0,0
10,4,0,0,0,0
11,4,0,0,0,0
12,4,0,0,0,0
13,4,0,0,0,0
14,4,0,0,0,0
15,4,0,0,0,0
16,4,0,0,0,0
17,4,0,0,0,0
18,4,0,0,0,0
19,4,0,0,0,0
20,4,0,0,0,0
21,4,0,0,0,0
22,4,0,0,0,0
23,4,0,0,0,0
24,4,0,0,0,0
25,4,0,0,0,0
26,4,0,0,0,0
27,4,0,0,0,0
28,4,0,0,0,0
29,4,0,0,0,0
30,4,0,0,0,0
31,4,0,0,0,0
64,27,0,0,0,0
65,27,0,0,0,0
66,27,0,0,0,0
67,27,0,0,0,0
32,7,0,0,0,0
33,7,0,0,0,0
34,7,0,0,0,0
35,7,0,0,0,0
36,7,0,0,0,0
37,7,0,0,0,0
38,7,0,0,0,0
39,7,0,0,0,0
40,7,0,0,0,0
41,7,0,0,0,0
42,7,0,0,0,0
43,7,0,0,0,0
44,7,0,0,0,0
45,7,0,0,0,0
46,7,0,0,0,0
47,7,0,0,0,0
96,57,0,0,0,0
97,57,0,0,0,0
6,5,239.177337646484375,-155170.734375,-0,-0
7,5,83.462677001953125,-124752.796875,-0,-0
8,5,10.49445819854736328125,-31319.8203125,-0,-0
9,5,7.54020902604679577052593231201171875e-07,-0.541303813457489013671875,-0,-0
10,5,0,0,0,0
11,5,0,0,0,0
12,5,0,0,0,0
13,5,0,0,0,0
14,5,0,0,0,0
15,5,0,0,0,0
16,5,0,0,0,0
17,5,0,0,0,0
18,5,0,0,0,0
19,5,0,0,0,0
20,5,0,0,0,0
21,5,0,0,0,0
22,5,0,0,0,0
23,5,0,0,0,0
24,5,0,0,0,0
25,5,0,0,0,0
26,5,0,0,0,0
27,5,0,0,0,0
28,5,0,0,0,0
29,5,0,0,0,0
30,5,0,0,0,0
31,5,0,0,0,0
128,89,0,0,0,0
129,89,0,0,0,0
160,120,0,0,0,0
64,28,0,0,0,0
65,28,0,0,0,0
66,28,0,0,0,0
67,28,0,0,0,0
68,28,0,0,0,0
96,58,0,0,0,0
97,58,0,0,0,0
98,58,0,0,0,0
32,8,0,0,0,0
33,8,0,0,0,0
34,8,0,0,0,0
35,8,0,0,0,0
36,8,0,0,0,0
37,8,0,0,0,0
38,8,0,0,0,0
39,8,0,0,0,0
40,8,0,0,0,0
41,8,0,0,0,0
42,8,0,0,0,0
43,8,0,0,0,0
44,8,0,0,0,0
45,8,0,0,0,0
46,8,0,0,0,0
47,8,0,0,0,0
48,8,0,0,0,0
7,6,239.240936279296875,-155476.546875,-0,-0
8,6,83.420623779296875,-124749.5,-0,-0
9,6,10.4908504486083984375,-31313.982421875,-0,-0
10,6,6.932831411177176050841808319091796875e-07,-0.51184475421905517578125,-0,-0
11,6,0,0,0,0
12,6,0,0,0,0
13,6,0,0,0,0
14,6,0,0,0,0
15,6,0,0,0,0
16,6,0,0,0,0
17,6,0,0,0,0
18,6,0,0,0,0
19,6,0,0,0,0
20,6,0,0,0,0
21,6,0,0,0,0
22,6,0,0,0,0
23,6,0,0,0,0
24,6,0,0,0,0
25,6,0,0,0,0
26,6,0,0,0,0
27,6,0,0,0,0
28,6,0,0,0,0
29,6,0,0,0,0
30,6,0,0,0,0
31,6,0,0,0,0
128,90,0,0,0,0
129,90,0,0,0,0
130,90,0,0,0,0
160,121,0,0,0,0
161,121,0,0,0,0
192,152,0,0,0,0
64,29,0,0,0,0
65,29,0,0,0,0
66,29,0,0,0,0
67,29,0,0,0,0
68,29,0,0,0,0
69,29,0,0,0,0
96,59,0,0,0,0
97,59,0,0,0,0
98,59,0,0,0,0
99,59,0,0,0,0
32,9,0,0,0,0
33,9,0,0,0,0
34,9,0,0,0,0
35,9,0,0,0,0
36,9,0,0,0,0
37,9,0,0,0,0
38,9,0,0,0,0
39,9,0,0,0,0
40,9,0,0,0,0
41,9,0,0,0,0
42,9,0,0,0,0
43,9,0,0,0,0
44,9,0,0,0,0
45,9,0,0,0,0
46,9,0,0,0,0
47,9,0,0,0,0
48,9,0,0,0,0
49,9,0,0,0,0
8,7,239.324676513671875,-155851.515625,-0,-0
9,7,83.28668212890625,-124750.234375,-0,-0
10,7,10.42457866668701171875,-31215.0078125,-0,-0
11,7,7.09008407540068219532258808612823486328125e-09,-0.02414119057357311248779296875,-0,-0
12,7,0,0,0,0
13,7,0,0,0,0
14,7,0,0,0,0
15,7,0,0,0,0
16,7,0,0,0,0
17,7,0,0,0,0
18,7,0,0,0,0
19,7,0,0,0,0
20,7,0,0,0,0
21,7,0,0,0,0
22,7,0,0,0,0
23,7,0,0,0,0
24,7,0,0,0,0
25,7,0,0,0,0
26,7,0,0,0,0
27,7,0,0,0,0
28,7,0,0,0,0
29,7,0,0,0,0
30,7,0,0,0,0
31,7,0,0,0,0
128,91,0,0,0,0
129,91,0,0,0,0
130,91,0,0,0,0
131,91,0,0,0,0
160,122,0,0,0,0
161,122,0,0,0,0
162,122,0,0,0,0
192,153,0,0,0,0
193,153,0,0,0,0
224,184,0,0,0,0
256,216,0,0,0,0
64,30,0,0,0,0
65,30,0,0,0,0
66,30,0,0,0,0
67,30,0,0,0,0
68,30,0,0,0,0
69,30,0,0,0,0
70,30,0,0,0,0
96,60,0,0,0,0
97,60,0,0,0,0
98,60,0,0,0,0
99,60,0,0,0,0
100,60,0,0,0,0
32,10,0,0,0,0
33,10,0,0,0,0
34,10,0,0,0,0
35,10,0,0,0,0
36,10,0,0,0,0
37,10,0,0,0,0
38,10,0,0,0,0
39,10,0,0,0,0
40,10,0,0,0,0
41,10,0,0,0,0
42,10,0,0,0,0
43,10,0,0,0,0
44,10,0,0,0,0
45,10,0,0,0,0
46,10,0,0,0,0
47,10,0,0,0,0
48,10,0,0,0,0
49,10,0,0,0,0
50,10,0,0,0,0
9,8,239.343017578125,-155933.84375,-0,-0
10,8,83.25183868408203125,-124750.28125,-0,-0
11,8,10.4071502685546875,-31188.91015625,-0,-0
12,8,8.224844416648835476735257543623447418212890625e-13,-5.743775182054378092288970947265625e-05,-0,-0
13,8,0,0,0,0
14,8,0,0,0,0
15,8,0,0,0,0
16,8,0,0,0,0
17,8,0,0,0,0
18,8,0,0,0,0
19,8,0,0,0,0
20,8,0,0,0,0
21,8,0,0,0,0
22,8,0,0,0,0
23,8,0,0,0,0
24,8,0,0,0,0
25,8,0,0,0,0
26,8,0,0,0,0
27,8,0,0,0,0
28,8,0,0,0,0
29,8,0,0,0,0
30,8,0,0,0,0
31,8,0,0,0,0
384,344,0,0,0,0
128,92,0,0,0,0
129,92,0,0,0,0
130,92,0,0,0,0
131,92,0,0,0,0
132,92,0,0,0,0
160,123,0,0,0,0
161,123,0,0,0,0
162,123,0,0,0,0
163,123,0,0,0,0
192,154,0,0,0,0
193,154,0,0,0,0
194,154,0,0,0,0
224,185,0,0,0,0
225,185,0,0,0,0
96,61,0,0,0,0
97,61,0,0,0,0
98,61,0,0,0,0
99,61,0,0,0,0
100,61,0,0,0,0
101,61,0,0,0,0
64,31,0,0,0,0
65,31,0,0,0,0
66,31,0,0,0,0
67,31,0,0,0,0
68,31,0,0,0,0
69,31,0,0,0,0
70,31,0,0,0,0
71,31,0,0,0,0
32,11,0,0,0,0
33,11,0,0,0,0
34,11,0,0,0,0
35,11,0,0,0,0
36,11,0,0,0,0
37,11,0,0,0,0
38,11,0,0,0,0
39,11,0,0,0,0
40,11,0,0,0,0
41,11,0,0,0,0
42,11,0,0,0,0
43,11,0,0,0,0
44,11,0,0,0,0
45,11,0,0,0,0
46,11,0,0,0,0
47,11,0,0,0,0
48,11,0,0,0,0
49,11,0,0,0,0
50,11,0,0,0,0
51,11,0,0,0,0
10,9,239.343902587890625,-155937.84375,-0,-0
11,9,83.25005340576171875,-124750.2734375,-0,-0
12,9,10.40625667572021484375,-31187.568359375,-0,-0
13,9,0,-0,-0,-0
14,9,0,0,0,0
15,9,0,0,0,0
16,9,0,0,0,0
17,9,0,0,0,0
18,9,0,0,0,0
19,9,0,0,0,0
20,9,0,0,0,0
21,9,0,0,0,0
22,9,0,0,0,0
23,9,0,0,0,0
24,9,0,0,0,0
25,9,0,0,0,0
26,9,0,0,0,0
27,9,0,0,0,0
28,9,0,0,0,0
29,9,0,0,0,0
30,9,0,0,0,0
31,9,0,0,0,0
128,93,0,0,0,0
129,93,0,0,0,0
130,93,0,0,0,0
131,93,0,0,0,0
132,93,0,0,0,0
133,93,0,0,0,0
160,124,0,0,0,0
161,124,0,0,0,0
162,124,0,0,0,0
163,124,0,0,0,0
164,124,0,0,0,0
192,155,0,0,0,0
193,155,0,0,0,0
194,155,0,0,0,0
195,155,0,0,0,0
224,186,0,0,0,0
225,186,0,0,0,0
226,186,0,0,0,0
256,217,0,0,0,0
257,217,0,0,0,0
288,248,0,0,0,0
320,280,0,0,0,0
96,62,0,0,0,0
97,62,0,0,0,0
98,62,0,0,0,0
99,62,0,0,0,0
100,62,0,0,0,0
101,62,0,0,0,0
102,62,0,0,0,0
64,32,0,0,0,0
65,32,0,0,0,0
66,32,0,0,0,0
67,32,0,0,0,0
68,32,0,0,0,0
69,32,0,0,0,0
70,32,0,0,0,0
71,32,0,0,0,0
72,32,0,0,0,0
32,12,0,0,0,0
33,12,0,0,0,0
34,12,0,0,0,0
35,12,0,0,0,0
36,12,0,0,0,0
37,12,0,0,0,0
38,12,0,0,0,0
39,12,0,0,0,0
40,12,0,0,0,0
41,12,0,0,0,0
42,12,0,0,0,0
43,12,0,0,0,0
44,12,0,0,0,0
45,12,0,0,0,0
46,12,0,0,0,0
47,12,0,0,0,0
48,12,0,0,0,0
49,12,0,0,0,0
50,12,0,0,0,0
51,12,0,0,0,0
52,12,0,0,0,0
11,10,239.343902587890625,-155937.84375,-0,-0
12,10,83.25005340576171875,-124750.2734375,-0,-0
13,10,10.40625667572021484375,-31187.568359375,-0,-0
14,10,0,-0,-0,-0
15,10,0,0,0,0
16,10,0,0,0,0
17,10,0,0,0,0
18,10,0,0,0,0
19,10,0,0,0,0
20,10,0,0,0,0
21,10,0,0,0,0
22,10,0,0,0,0
23,10,0,0,0,0
24,10,0,0,0,0
25,10,0,0,0,0
26,10,0,0,0,0
27,10,0,0,0,0
28,10,0,0,0,0
29,10,0,0,0,0
30,10,0,0,0,0
31,10,0,0,0,0
416,376,0,0,0,0
384,345,0,0,0,0
385,345,0,0,0,0
352,312,0,0,0,0
128,94,0,0,0,0
129,94,0,0,0,0
130,94,0,0,0,0
131,94,0,0,0,0
132,94,0,0,0,0
133,94,0,0,0,0
134,94,0,0,0,0
160,125,0,0,0,0
161,125,0,0,0,0
162,125,0,0,0,0
163,125,0,0,0,0
164,125,0,0,0,0
165,125,0,0,0,0
192,156,0,0,0,0
193,156,0,0,0,0
194,156,0,0,0,0
195,156,0,0,0,0
196,156,0,0,0,0
224,187,0,0,0,0
225,187,0,0,0,0
226,187,0,0,0,0
227,187,0,0,0,0
288,249,0,0,0,0
289,249,0,0,0,0
256,218,0,0,0,0
257,218,0,0,0,0
258,218,0,0,0,0
320,281,0,0,0,0
321,281,0,0,0,0
96,63,0,0,0,0
97,63,0,0,0,0
98,63,0,0,0,0
99,63,0,0,0,0
100,63,0,0,0,0
101,63,0,0,0,0
102,63,0,0,0,0
103,63,0,0,0,0
64,33,0,0,0,0
65,33,0,0,0,0
66,33,0,0,0,0
67,33,0,0,0,0
68,33,0,0,0,0
69,33,0,0,0,0
70,33,0,0,0,0
71,33,0,0,0,0
72,33,0,0,0,0
73,33,0,0,0,0
32,13,0,0,0,0
33,13,0,0,0,0
34,13,0,0,0,0
35,13,0,0,0,0
36,13,0,0,0,0
37,13,0,0,0,0
38,13,0,0,0,0
39,13,0,0,0,0
40,13,0,0,0,0
41,13,0,0,0,0
42,13,0,0,0,0
43,13,0,0,0,0
44,13,0,0,0,0
45,13,0,0,0,0
46,13,0,0,0,0
47,13,0,0,0,0
48,13,0,0,0,0
49,13,0,0,0,0
50,13,0,0,0,0
51,13,0,0,0,0
52,13,0,0,0,0
53,13,0,0,0,0
12,11,239.343902587890625,-155937.84375,-0,-0
13,11,83.25005340576171875,-124750.2734375,-0,-0
14,11,10.40625667572021484375,-31187.568359375,-0,-0
15,11,0,-0,-0,-0
16,11,0,0,0,0
17,11,0,0,0,0
18,11,0,0,0,0
19,11,0,0,0,0
20,11,0,0,0,0
21,11,0,0,0,0
22,11,0,0,0,0
23,11,0,0,0,0
24,11,0,0,0,0
25,11,0,0,0,0
