pid, x, y, z, vx, vy, vz, mass, rho, pressure, internal energy, sound speed, hsml
0,-0.50325214862823486328125, -0.5, -0.5, -0.53474462032318115234375, 0, 0, 0.010101010091602802276611328125, 0.47809064388275146484375, 0.4568224251270294189453125, 2.3883640766143798828125, 0.97750413417816162109375, 0.0422556288540363311767578125
1,-0.4918113052845001220703125, -0.5, -0.5, -0.316582977771759033203125, 0, 0, 0.010101010091602802276611328125, 0.72663152217864990234375, 0.698464453220367431640625, 2.4027206897735595703125, 0.980426490306854248046875, 0.02780229039490222930908203125
2,-0.4807485044002532958984375, -0.5, -0.5, -0.16080991923809051513671875, 0, 0, 0.010101010091602802276611328125, 0.94555294513702392578125, 0.915296137332916259765625, 2.419694423675537109375, 0.98387038707733154296875, 0.02136529795825481414794921875
3,-0.4698810875415802001953125, -0.5, -0.5, -0.0370233356952667236328125, 0, 0, 0.010101010091602802276611328125, 1.02151596546173095703125, 0.999743640422821044921875, 2.446507930755615234375, 0.989285767078399658203125, 0.01977651007473468780517578125
4,-0.4594396650791168212890625, -0.5, -0.5, 0.01888461410999298095703125, 0, 0, 0.010101010091602802276611328125, 0.999891757965087890625, 0.993789613246917724609375, 2.4846789836883544921875, 0.996943950653076171875, 0.02020420692861080169677734375
5,-0.4494318664073944091796875, -0.5, -0.5, 0.0074225221760571002960205078125, 0, 0, 0.010101010091602802276611328125, 0.9977705478668212890625, 0.999592483043670654296875, 2.5045769214630126953125, 1.00091254711151123046875, 0.02024715952575206756591796875
6,-0.439404428005218505859375, -0.5, -0.5, -0.00164259853772819042205810546875, 0, 0, 0.010101010091602802276611328125, 1.00205695629119873046875, 1.00350558757781982421875, 2.50362491607666015625, 1.0007226467132568359375, 0.02016055025160312652587890625
7,-0.4293066561222076416015625, -0.5, -0.5, -0.001417160965502262115478515625, 0, 0, 0.010101010091602802276611328125, 1.00170266628265380859375, 1.0017626285552978515625, 2.50014972686767578125, 1.00002992153167724609375, 0.02016768045723438262939453125
8,-0.4191919267177581787109375, -0.5, -0.5, 4.418300159159116446971893310546875e-05, 0, 0, 0.010101010091602802276611328125, 0.99981129169464111328125, 0.999585449695587158203125, 2.4994337558746337890625, 0.999887049198150634765625, 0.020205833017826080322265625
9,-0.4090909063816070556640625, -0.5, -0.5, 0.000258205574937164783477783203125, 0, 0, 0.010101010091602802276611328125, 0.999467372894287109375, 0.99939906597137451171875, 2.4998290538787841796875, 0.999965846538543701171875, 0.02021278627216815948486328125
10,-0.3989899158477783203125, -0.5, -0.5, 4.541479211184196174144744873046875e-05, 0, 0, 0.010101010091602802276611328125, 0.99985516071319580078125, 0.9998762607574462890625, 2.5000531673431396484375, 1.00001060962677001953125, 0.02020494639873504638671875
11,-0.388888895511627197265625, -0.5, -0.5, -4.0698374505154788494110107421875e-05, 0, 0, 0.010101010091602802276611328125, 1.0000560283660888671875, 1.000077724456787109375, 2.50005435943603515625, 1.00001084804534912109375, 0.02020088769495487213134765625
12,-0.37878787517547607421875, -0.5, -0.5, -2.306116584804840385913848876953125e-05, 0, 0, 0.010101010091602802276611328125, 1.0000438690185546875, 1.00004374980926513671875, 2.5, 0.999999940395355224609375, 0.02020113356411457061767578125
13,-0.368686854839324951171875, -0.5, -0.5, -8.2850368698927923105657100677490234375e-07, 0, 0, 0.010101010091602802276611328125, 1.00000369548797607421875, 1.0000035762786865234375, 2.5, 0.999999940395355224609375, 0.02020194567739963531494140625
14,-0.3585858643054962158203125, -0.5, -0.5, 4.381176040624268352985382080078125e-06, 0, 0, 0.010101010091602802276611328125, 0.99999332427978515625, 0.999993264675140380859375, 2.5, 0.999999940395355224609375, 0.02020215429365634918212890625
15,-0.3484848439693450927734375, -0.5, -0.5, 1.945488065757672302424907684326171875e-06, 0, 0, 0.010101010091602802276611328125, 0.999997615814208984375, 0.999997556209564208984375, 2.5, 0.999999940395355224609375, 0.02020206861197948455810546875
16,-0.338383853435516357421875, -0.5, -0.5, 3.13975448307246551848948001861572265625e-07, 0, 0, 0.010101010091602802276611328125, 1.00000035762786865234375, 1.0000002384185791015625, 2.5, 0.999999940395355224609375, 0.02020201273262500762939453125
17,-0.328282833099365234375, -0.5, -0.5, -8.270624363149181590415537357330322265625e-08, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
18,-0.318181812763214111328125, -0.5, -0.5, -4.15140362974852905608713626861572265625e-07, 0, 0, 0.010101010091602802276611328125, 0.99999940395355224609375, 0.999999344348907470703125, 2.5, 0.999999940395355224609375, 0.02020203135907649993896484375
19,-0.30808079242706298828125, -0.5, -0.5, -5.2269888328737579286098480224609375e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
20,-0.2979798018932342529296875, -0.5, -0.5, -2.14030336564974277280271053314208984375e-07, 0, 0, 0.010101010091602802276611328125, 1.000000476837158203125, 1.00000035762786865234375, 2.5, 0.999999940395355224609375, 0.0202020108699798583984375
21,-0.2878787815570831298828125, -0.5, -0.5, 1.809127070373506285250186920166015625e-07, 0, 0, 0.010101010091602802276611328125, 1.000000476837158203125, 1.00000035762786865234375, 2.5, 0.999999940395355224609375, 0.0202020108699798583984375
22,-0.27777779102325439453125, -0.5, -0.5, 3.097742364843725226819515228271484375e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
23,-0.267676770687103271484375, -0.5, -0.5, 4.68589433921806630678474903106689453125e-08, 0, 0, 0.010101010091602802276611328125, 0.9999997615814208984375, 0.999999701976776123046875, 2.5, 0.999999940395355224609375, 0.02020202577114105224609375
24,-0.2575757503509521484375, -0.5, -0.5, -8.77095089890644885599613189697265625e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
25,-0.2474747598171234130859375, -0.5, -0.5, 3.3300114665735236485488712787628173828125e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
26,-0.2373737394809722900390625, -0.5, -0.5, -7.3299499803169965161941945552825927734375e-10, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
27,-0.2272727191448211669921875, -0.5, -0.5, -4.1912272763511282391846179962158203125e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
28,-0.217171728610992431640625, -0.5, -0.5, 4.1912272763511282391846179962158203125e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
29,-0.20707070827484130859375, -0.5, -0.5, -1.3166960934852200114375531114774275920353829860687255859375e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
30,-0.196969687938690185546875, -0.5, -0.5, -4.1912272763511282391846179962158203125e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
31,-0.1868686974048614501953125, -0.5, -0.5, 4.1912272763511282391846179962158203125e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
32,-0.1767676770687103271484375, -0.5, -0.5, -1.3166960934852200114375531114774275920353829860687255859375e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
33,-0.1666666567325592041015625, -0.5, -0.5, -4.1912272763511282391846179962158203125e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
34,-0.15656566619873046875, -0.5, -0.5, 4.1912272763511282391846179962158203125e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
35,-0.146464645862579345703125, -0.5, -0.5, -1.3166960934852200114375531114774275920353829860687255859375e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
36,-0.13636362552642822265625, -0.5, -0.5, -4.1912272763511282391846179962158203125e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
37,-0.1262626349925994873046875, -0.5, -0.5, 4.1912272763511282391846179962158203125e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
38,-0.1161616146564483642578125, -0.5, -0.5, -1.3166960934852200114375531114774275920353829860687255859375e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
39,-0.1060605943202972412109375, -0.5, -0.5, -4.1912272763511282391846179962158203125e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
40,-0.095959603786468505859375, -0.5, -0.5, 4.1912272763511282391846179962158203125e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
41,-0.0858585834503173828125, -0.5, -0.5, -1.3166960934852200114375531114774275920353829860687255859375e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
42,-0.075757563114166259765625, -0.5, -0.5, -4.117907081990779261104762554168701171875e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
43,-0.0656565725803375244140625, -0.5, -0.5, 5.14413471819352707825601100921630859375e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
44,-0.0555555522441864013671875, -0.5, -0.5, 5.93708335827614064328372478485107421875e-08, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
45,-0.0454545319080352783203125, -0.5, -0.5, 5.3326321136637488962151110172271728515625e-09, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
46,-0.03535354137420654296875, -0.5, -0.5, -5.581383533126427209936082363128662109375e-08, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
