pid, x, y, z, vx, vy, vz, mass, rho, pressure, internal energy, sound speed, hsml
0,-nan, -nan, -nan, -nan, -nan, -nan, 0.010101010091602802276611328125, 0, nan, -nan, 0, inf
1,-nan, -nan, -nan, -nan, -nan, -nan, 0.010101010091602802276611328125, 0, nan, -nan, 0, inf
2,-nan, -nan, -nan, -nan, -nan, -nan, 0.010101010091602802276611328125, 0, nan, -nan, 0, inf
3,-0.536828339099884033203125, -0.5, -0.5, -7.381023883819580078125, 0, 0, 0.010101010091602802276611328125, 2.16226530773267293285633066333983887119529754272662103176116943359375e-20, 1.179609879039838219858957397197934957588927318283822387456893920898438e-20, 1.3638589382171630859375, 0.73860919475555419921875, 934298873147424768
4,-0.4849826991558074951171875, -0.5, -0.5, -1.17631685733795166015625, 0, 0, 0.010101010091602802276611328125, 0.2391375601291656494140625, 0.1714985668659210205078125, 1.7921183109283447265625, 0.846849739551544189453125, 0.08447866141796112060546875
5,-0.4650990664958953857421875, -0.5, -0.5, -0.727472603321075439453125, 0, 0, 0.010101010091602802276611328125, 0.44573247432708740234375, 0.351063907146453857421875, 1.96832370758056640625, 0.88747465610504150390625, 0.0453231967985630035400390625
6,-0.4480402469635009765625, -0.5, -0.5, -0.4416198432445526123046875, 0, 0, 0.010101010091602802276611328125, 0.69171965122222900390625, 0.586663186550140380859375, 2.119731903076171875, 0.920935809612274169921875, 0.02920550294220447540283203125
7,-0.434326171875, -0.5, -0.5, -0.2971238791942596435546875, 0, 0, 0.010101010091602802276611328125, 0.788471996784210205078125, 0.712418079376220703125, 2.2584171295166015625, 0.950548589229583740234375, 0.025621734559535980224609375
8,-0.4221996963024139404296875, -0.5, -0.5, -0.19464923441410064697265625, 0, 0, 0.010101010091602802276611328125, 0.8419530391693115234375, 0.787781894207000732421875, 2.33879566192626953125, 0.967295229434967041015625, 0.0239942371845245361328125
9,-0.410573899745941162109375, -0.5, -0.5, -0.113894604146480560302734375, 0, 0, 0.010101010091602802276611328125, 0.9048182964324951171875, 0.865703046321868896484375, 2.39165592193603515625, 0.978146255016326904296875, 0.02232715673744678497314453125
10,-0.399613857269287109375, -0.5, -0.5, -0.065274655818939208984375, 0, 0, 0.010101010091602802276611328125, 0.9474656581878662109375, 0.92521417140960693359375, 2.441106319427490234375, 0.988187611103057861328125, 0.02132216654717922210693359375
11,-0.3891818821430206298828125, -0.5, -0.5, -0.03635036945343017578125, 0, 0, 0.010101010091602802276611328125, 0.9760415554046630859375, 0.96548557281494140625, 2.472841739654541015625, 0.99457776546478271484375, 0.0206979103386402130126953125
12,-0.3789218962192535400390625, -0.5, -0.5, -0.01585404761135578155517578125, 0, 0, 0.010101010091602802276611328125, 0.99000990390777587890625, 0.984588146209716796875, 2.486232280731201171875, 0.997258007526397705078125, 0.0204058773815631866455078125
13,-0.36871707439422607421875, -0.5, -0.5, -0.0048883669078350067138671875, 0, 0, 0.010101010091602802276611328125, 0.995615899562835693359375, 0.9929530620574951171875, 2.493276119232177734375, 0.998661816120147705078125, 0.020290978252887725830078125
14,-0.358587682247161865234375, -0.5, -0.5, -0.001557591487653553485870361328125, 0, 0, 0.010101010091602802276611328125, 0.998415648937225341796875, 0.99758946895599365234375, 2.497918605804443359375, 0.999586164951324462890625, 0.0202340781688690185546875
15,-0.348487377166748046875, -0.5, -0.5, -0.0007670116610825061798095703125, 0, 0, 0.010101010091602802276611328125, 0.9998924732208251953125, 0.99978482723236083984375, 2.499726772308349609375, 0.999946177005767822265625, 0.02020419202744960784912109375
16,-0.338383853435516357421875, -0.5, -0.5, -0.00024942719028331339359283447265625, 0, 0, 0.010101010091602802276611328125, 1.000193119049072265625, 1.00016367435455322265625, 2.49992465972900390625, 0.999985277652740478515625, 0.02019811980426311492919921875
17,-0.328282833099365234375, -0.5, -0.5, 3.10992390950559638440608978271484375e-06, 0, 0, 0.010101010091602802276611328125, 1.0000555515289306640625, 1.00002229213714599609375, 2.49991607666015625, 0.999983370304107666015625, 0.02020089887082576751708984375
18,-0.318181812763214111328125, -0.5, -0.5, 2.6644896934158168733119964599609375e-05, 0, 0, 0.010101010091602802276611328125, 0.99997806549072265625, 0.999978005886077880859375, 2.5, 0.999999940395355224609375, 0.02020246349275112152099609375
19,-0.30808079242706298828125, -0.5, -0.5, 4.9174368541571311652660369873046875e-06, 0, 0, 0.010101010091602802276611328125, 0.99998319149017333984375, 0.999983131885528564453125, 2.5, 0.999999940395355224609375, 0.02020235918462276458740234375
20,-0.2979798018932342529296875, -0.5, -0.5, -4.87012539451825432479381561279296875e-06, 0, 0, 0.010101010091602802276611328125, 0.999999105930328369140625, 0.99999904632568359375, 2.5, 0.999999940395355224609375, 0.02020203880965709686279296875
21,-0.2878787815570831298828125, -0.5, -0.5, -1.3940713188276276923716068267822265625e-06, 0, 0, 0.010101010091602802276611328125, 1.000003337860107421875, 1.00000321865081787109375, 2.5, 0.999999940395355224609375, 0.02020195312798023223876953125
22,-0.27777779102325439453125, -0.5, -0.5, 1.901467612697160802781581878662109375e-06, 0, 0, 0.010101010091602802276611328125, 1.00000131130218505859375, 1.0000011920928955078125, 2.5, 0.999999940395355224609375, 0.02020199410617351531982421875
23,-0.267676770687103271484375, -0.5, -0.5, 8.288392336908145807683467864990234375e-07, 0, 0, 0.010101010091602802276611328125, 0.99999964237213134765625, 0.999999582767486572265625, 2.5, 0.999999940395355224609375, 0.02020202763378620147705078125
24,-0.2575757503509521484375, -0.5, -0.5, -3.91554152656681253574788570404052734375e-07, 0, 0, 0.010101010091602802276611328125, 0.9999997615814208984375, 0.999999701976776123046875, 2.5, 0.999999940395355224609375, 0.02020202577114105224609375
25,-0.2474747598171234130859375, -0.5, -0.5, 1.69637161206992459483444690704345703125e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
26,-0.2373737394809722900390625, -0.5, -0.5, -1.7343094071975428960286080837249755859375e-08, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
