pid, x, y, z, vx, vy, vz, mass, rho, pressure, internal energy, sound speed, hsml
0,-nan, -nan, -nan, -nan, -nan, -nan, 0.010101010091602802276611328125, 0, nan, -nan, 0, inf
1,-nan, -nan, -nan, -nan, -nan, -nan, 0.010101010091602802276611328125, 0, nan, -nan, 0, inf
2,-nan, -nan, -nan, -nan, -nan, -nan, 0.010101010091602802276611328125, 0, nan, -nan, 0, inf
3,-0.539780914783477783203125, -0.5, -0.5, -7.381023883819580078125, 0, 0, 0.010101010091602802276611328125, 3.295633867287909976863194720856820745837068020733795492560602724552155e-24, 1.797911821750933309997200454621564882917716943211416946724057197570801e-24, 1.3638589382171630859375, 0.73860919475555419921875, 6129934458256948723712
4,-0.4854565560817718505859375, -0.5, -0.5, -1.191907405853271484375, 0, 0, 0.010101010091602802276611328125, 0.23724140226840972900390625, 0.16955529153347015380859375, 1.786353588104248046875, 0.845396459102630615234375, 0.085153855383396148681640625
5,-0.4653922021389007568359375, -0.5, -0.5, -0.737435519695281982421875, 0, 0, 0.010101010091602802276611328125, 0.4427661895751953125, 0.3477274477481842041015625, 1.96302700042724609375, 0.88620102405548095703125, 0.04562683403491973876953125
6,-0.4482181370258331298828125, -0.5, -0.5, -0.4473697841167449951171875, 0, 0, 0.010101010091602802276611328125, 0.68808925151824951171875, 0.58231461048126220703125, 2.1154053211212158203125, 0.9199335575103759765625, 0.02935959212481975555419921875
7,-0.4344458281993865966796875, -0.5, -0.5, -0.300920069217681884765625, 0, 0, 0.010101010091602802276611328125, 0.78537976741790771484375, 0.70851647853851318359375, 2.2551100254058837890625, 0.949806511402130126953125, 0.02572261355817317962646484375
8,-0.4222781956195831298828125, -0.5, -0.5, -0.1975823342800140380859375, 0, 0, 0.010101010091602802276611328125, 0.83948338031768798828125, 0.784515857696533203125, 2.33612728118896484375, 0.96670687198638916015625, 0.02406482398509979248046875
9,-0.4106199741363525390625, -0.5, -0.5, -0.11635191738605499267578125, 0, 0, 0.010101010091602802276611328125, 0.902882516384124755859375, 0.863069832324981689453125, 2.3896267414093017578125, 0.977703869342803955078125, 0.02237502671778202056884765625
10,-0.399640381336212158203125, -0.5, -0.5, -0.0670891702175140380859375, 0, 0, 0.010101010091602802276611328125, 0.9460713863372802734375, 0.923302471637725830078125, 2.439741611480712890625, 0.9878933429718017578125, 0.02135358937084674835205078125
11,-0.3891966640949249267578125, -0.5, -0.5, -0.0374734140932559967041015625, 0, 0, 0.010101010091602802276611328125, 0.9751160144805908203125, 0.96418988704681396484375, 2.4719259738922119140625, 0.994381725788116455078125, 0.02071755565702915191650390625
12,-0.378928363323211669921875, -0.5, -0.5, -0.01641968078911304473876953125, 0, 0, 0.010101010091602802276611328125, 0.989453971385955810546875, 0.98378956317901611328125, 2.4856488704681396484375, 0.9971334934234619140625, 0.02041734196245670318603515625
13,-0.3687190711498260498046875, -0.5, -0.5, -0.00516126491129398345947265625, 0, 0, 0.010101010091602802276611328125, 0.995343029499053955078125, 0.99256002902984619140625, 2.4929907321929931640625, 0.998601019382476806640625, 0.0202965401113033294677734375
14,-0.358588397502899169921875, -0.5, -0.5, -0.001694929669611155986785888671875, 0, 0, 0.010101010091602802276611328125, 0.998324453830718994140625, 0.9974563121795654296875, 2.497819423675537109375, 0.99956512451171875, 0.0202359259128570556640625
15,-0.3484876155853271484375, -0.5, -0.5, -0.0008221710450015962123870849609375, 0, 0, 0.010101010091602802276611328125, 0.99987709522247314453125, 0.99975574016571044921875, 2.499694347381591796875, 0.99993932247161865234375, 0.0202045030891895294189453125
16,-0.338383853435516357421875, -0.5, -0.5, -0.00025989123969338834285736083984375, 0, 0, 0.010101010091602802276611328125, 1.00019276142120361328125, 1.00015723705291748046875, 2.4999103546142578125, 0.99998223781585693359375, 0.02019812725484371185302734375
17,-0.328282833099365234375, -0.5, -0.5, 4.564744813251309096813201904296875e-06, 0, 0, 0.010101010091602802276611328125, 1.0000553131103515625, 1.00001895427703857421875, 2.499908924102783203125, 0.999981820583343505859375, 0.02020090259611606597900390625
18,-0.318181812763214111328125, -0.5, -0.5, 2.7472216970636509358882904052734375e-05, 0, 0, 0.010101010091602802276611328125, 0.999977886676788330078125, 0.9999778270721435546875, 2.5, 0.999999940395355224609375, 0.02020246721804141998291015625
19,-0.30808079242706298828125, -0.5, -0.5, 4.70580926048569381237030029296875e-06, 0, 0, 0.010101010091602802276611328125, 0.999983310699462890625, 0.999983251094818115234375, 2.5, 0.999999940395355224609375, 0.0202023573219776153564453125
20,-0.2979798018932342529296875, -0.5, -0.5, -5.18744445798802189528942108154296875e-06, 0, 0, 0.010101010091602802276611328125, 0.999999105930328369140625, 0.99999904632568359375, 2.5, 0.999999940395355224609375, 0.02020203880965709686279296875
21,-0.2878787815570831298828125, -0.5, -0.5, -1.4649643844677484594285488128662109375e-06, 0, 0, 0.010101010091602802276611328125, 1.000003337860107421875, 1.00000321865081787109375, 2.5, 0.999999940395355224609375, 0.02020195312798023223876953125
22,-0.27777779102325439453125, -0.5, -0.5, 1.94521635421551764011383056640625e-06, 0, 0, 0.010101010091602802276611328125, 1.00000131130218505859375, 1.0000011920928955078125, 2.5, 0.999999940395355224609375, 0.02020199410617351531982421875
23,-0.267676770687103271484375, -0.5, -0.5, 8.5617693912354297935962677001953125e-07, 0, 0, 0.010101010091602802276611328125, 0.99999964237213134765625, 0.999999582767486572265625, 2.5, 0.999999940395355224609375, 0.02020202763378620147705078125
24,-0.2575757503509521484375, -0.5, -0.5, -3.92510827396108652465045452117919921875e-07, 0, 0, 0.010101010091602802276611328125, 0.9999997615814208984375, 0.999999701976776123046875, 2.5, 0.999999940395355224609375, 0.02020202577114105224609375
25,-0.2474747598171234130859375, -0.5, -0.5, 1.674588503419727203436195850372314453125e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
26,-0.2373737394809722900390625, -0.5, -0.5, -1.7942401342452285462059080600738525390625e-08, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
