Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 11.21      0.07     0.07 28751524     0.00     0.00  vec3<double>::operator=(vec3<double> const volatile&)
  8.62      0.12     0.05 14375762     0.00     0.00  Particle::Particle(Particle const volatile&)
  6.90      0.15     0.04 11355344     0.00     0.00  std::enable_if<desul::Impl::atomic_exchange_available_gcc<int>::value, int>::type desul::atomic_exchange<int, desul::MemoryOrderSeqCst, desul::MemoryScopeDevice>(int*, int, desul::MemoryOrderSeqCst, desul::MemoryScopeDevice)
  6.03      0.19     0.04 19601412     0.00     0.00  void Kokkos::Impl::runtime_check_memory_access_violation<Kokkos::HostSpace>(char const*)
  5.17      0.22     0.03   709709     0.00     0.00  SPH::internalForces()::{lambda(unsigned int const&)#2}::operator()(unsigned int const&) const
  4.31      0.24     0.03  2838836     0.00     0.00  Particle desul::atomic_load<Particle, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice>(Particle const*, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice)
  3.45      0.27     0.02  9390583     0.00     0.00  vec3<double>::vec3(double, double, double)
  3.45      0.28     0.02  7093614     0.00     0.00  double desul::Impl::atomic_fetch_oper<desul::Impl::AddOper<double, double const>, double, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice, 0>(desul::Impl::AddOper<double, double const> const&, double*, desul::Impl::dont_deduce_this_parameter<double const>::type, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice)
  2.59      0.30     0.01 17539727     0.00     0.00  vec3<double>::operator=(vec3<double> const&)
  1.72      0.31     0.01 19601412     0.00     0.00  Kokkos::Impl::RuntimeCheckMemoryAccessViolation<Kokkos::HostSpace, Kokkos::OpenMP, true>::RuntimeCheckMemoryAccessViolation(char const*)
  1.72      0.32     0.01 11355344     0.00     0.00  int* desul::Impl::host_locks__::get_host_locks_<void>()
  1.72      0.33     0.01  7093614     0.00     0.00  void desul::atomic_add<double, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice>(double*, double, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice)
  1.72      0.34     0.01  7093614     0.00     0.00  std::enable_if<desul::Impl::atomic_exchange_available_gcc<long>::value, long>::type desul::atomic_compare_exchange<long, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice>(long*, long, long, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice)
  1.72      0.35     0.01  6169463     0.00     0.00  vec3<double>::operator[](unsigned int) const
  1.72      0.36     0.01  5258754     0.00     0.00  Particle::operator=(Particle const&)
  1.72      0.37     0.01  5202600     0.00     0.00  Kokkos::Impl::ViewFill<Kokkos::View<double*, Kokkos::LayoutRight, Kokkos::Device<Kokkos::OpenMP, Kokkos::AnonymousSpace>, Kokkos::MemoryTraits<0u> >, Kokkos::LayoutRight, Kokkos::OpenMP, 1, int>::operator()(int const&) const
  1.72      0.38     0.01  5039636     0.00     0.00  vec3<double> operator*<double>(double, vec3<double> const&)
  1.72      0.39     0.01  4002000     0.00     0.00  Kokkos::Impl::ViewFill<Kokkos::View<vec3<double>*, Kokkos::LayoutRight, Kokkos::Device<Kokkos::OpenMP, Kokkos::AnonymousSpace>, Kokkos::MemoryTraits<0u> >, Kokkos::LayoutRight, Kokkos::OpenMP, 1, int>::operator()(int const&) const
  1.72      0.40     0.01  2838836     0.00     0.00  Particle desul::Impl::atomic_fetch_oper<desul::Impl::LoadOper<Particle, Particle const>, Particle, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice, 0>(desul::Impl::LoadOper<Particle, Particle const> const&, Particle*, desul::Impl::dont_deduce_this_parameter<Particle const>::type, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice)
