pid, x, y, z, vx, vy, vz, mass, rho, pressure, internal energy, sound speed, hsml
0,-0.537355363368988037109375, -0.5, -0.5, -3.5701367855072021484375, 0, 0, 0.010101010091602802276611328125, 0.0062914039008319377899169921875, 0.004373473115265369415283203125, 1.736235141754150390625, 0.833756923675537109375, 3.2110512256622314453125
1,-0.510840237140655517578125, -0.5, -0.5, -1.05049002170562744140625, 0, 0, 0.010101010091602802276611328125, 0.2532385289669036865234375, 0.19113886356353759765625, 1.8865196704864501953125, 0.868779599666595458984375, 0.079774670302867889404296875
2,-0.4914391934871673583984375, -0.5, -0.5, -0.62501430511474609375, 0, 0, 0.010101010091602802276611328125, 0.45765125751495361328125, 0.364348948001861572265625, 1.9899790287017822265625, 0.892260015010833740234375, 0.04414282739162445068359375
3,-0.474799215793609619140625, -0.5, -0.5, -0.364197432994842529296875, 0, 0, 0.010101010091602802276611328125, 0.720485985279083251953125, 0.6176605224609375, 2.1429259777069091796875, 0.925895869731903076171875, 0.02803943492472171783447265625
4,-0.461425960063934326171875, -0.5, -0.5, -0.22103369235992431640625, 0, 0, 0.010101010091602802276611328125, 0.84800994396209716796875, 0.787686288356781005859375, 2.3219358921051025390625, 0.963776111602783203125, 0.02382285706698894500732421875
5,-0.45057785511016845703125, -0.5, -0.5, -0.129085242748260498046875, 0, 0, 0.010101010091602802276611328125, 0.91091740131378173828125, 0.8811397552490234375, 2.41808414459228515625, 0.9835193157196044921875, 0.02217766456305980682373046875
6,-0.439773142337799072265625, -0.5, -0.5, -0.044853858649730682373046875, 0, 0, 0.010101010091602802276611328125, 0.9651601314544677734375, 0.945397853851318359375, 2.4486768245697021484375, 0.98970925807952880859375, 0.0209312625229358673095703125
7,-0.429275214672088623046875, -0.5, -0.5, -0.00795864500105381011962890625, 0, 0, 0.010101010091602802276611328125, 0.98654496669769287109375, 0.977967798709869384765625, 2.4782087802886962890625, 0.995643436908721923828125, 0.02047754637897014617919921875
8,-0.4191506803035736083984375, -0.5, -0.5, -0.00317054451443254947662353515625, 0, 0, 0.010101010091602802276611328125, 0.99892818927764892578125, 0.99822485446929931640625, 2.498226642608642578125, 0.999647915363311767578125, 0.0202236957848072052001953125
9,-0.409102976322174072265625, -0.5, -0.5, -0.00215264339931309223175048828125, 0, 0, 0.010101010091602802276611328125, 1.003005504608154296875, 1.003681182861328125, 2.50167942047119140625, 1.00033676624298095703125, 0.02014148421585559844970703125
10,-0.39900004863739013671875, -0.5, -0.5, 0.000127704974147491157054901123046875, 0, 0, 0.010101010091602802276611328125, 1.0013844966888427734375, 1.0013592243194580078125, 2.4999339580535888671875, 0.9999873638153076171875, 0.0201740898191928863525390625
11,-0.3888864815235137939453125, -0.5, -0.5, 0.000664705061353743076324462890625, 0, 0, 0.010101010091602802276611328125, 0.999589443206787109375, 0.999420106410980224609375, 2.4995763301849365234375, 0.999915301799774169921875, 0.020210318267345428466796875
12,-0.37878787517547607421875, -0.5, -0.5, 0.0001136266291723586618900299072265625, 0, 0, 0.010101010091602802276611328125, 0.999529361724853515625, 0.99950945377349853515625, 2.4999511241912841796875, 0.999990046024322509765625, 0.02021153271198272705078125
13,-0.368686854839324951171875, -0.5, -0.5, -0.000147120925248600542545318603515625, 0, 0, 0.010101010091602802276611328125, 0.99994671344757080078125, 0.999976217746734619140625, 2.5000741481781005859375, 1.000014781951904296875, 0.02020309679210186004638671875
14,-0.3585858643054962158203125, -0.5, -0.5, -7.47913218219764530658721923828125e-05, 0, 0, 0.010101010091602802276611328125, 1.00007641315460205078125, 1.0000762939453125, 2.5, 0.999999940395355224609375, 0.02020047605037689208984375
15,-0.3484848439693450927734375, -0.5, -0.5, -1.2614649449460557661950588226318359375e-06, 0, 0, 0.010101010091602802276611328125, 1.00003397464752197265625, 1.000033855438232421875, 2.5, 0.999999940395355224609375, 0.02020133472979068756103515625
16,-0.338383853435516357421875, -0.5, -0.5, 1.492677620262838900089263916015625e-05, 0, 0, 0.010101010091602802276611328125, 0.99999654293060302734375, 0.999996483325958251953125, 2.5, 0.999999940395355224609375, 0.0202020891010761260986328125
17,-0.328282833099365234375, -0.5, -0.5, 5.671454346156679093837738037109375e-06, 0, 0, 0.010101010091602802276611328125, 0.99999177455902099609375, 0.999991714954376220703125, 2.5, 0.999999940395355224609375, 0.0202021859586238861083984375
18,-0.318181812763214111328125, -0.5, -0.5, -2.06860204343684017658233642578125e-06, 0, 0, 0.010101010091602802276611328125, 0.999997556209564208984375, 0.99999749660491943359375, 2.5, 0.999999940395355224609375, 0.0202020704746246337890625
19,-0.30808079242706298828125, -0.5, -0.5, -3.142572268188814632594585418701171875e-06, 0, 0, 0.010101010091602802276611328125, 1.00000083446502685546875, 1.0000007152557373046875, 2.5, 0.999999940395355224609375, 0.020202003419399261474609375
20,-0.2979798018932342529296875, -0.5, -0.5, -1.05714434539549984037876129150390625e-06, 0, 0, 0.010101010091602802276611328125, 1.0000011920928955078125, 1.00000107288360595703125, 2.5, 0.999999940395355224609375, 0.02020199596881866455078125
21,-0.2878787815570831298828125, -0.5, -0.5, 8.119058065858553163707256317138671875e-07, 0, 0, 0.010101010091602802276611328125, 1.00000059604644775390625, 1.000000476837158203125, 2.5, 0.999999940395355224609375, 0.02020200900733470916748046875
22,-0.27777779102325439453125, -0.5, -0.5, 1.1569201205929857678711414337158203125e-06, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
23,-0.267676770687103271484375, -0.5, -0.5, 1.685703381326675298623740673065185546875e-07, 0, 0, 0.010101010091602802276611328125, 0.9999997615814208984375, 0.999999701976776123046875, 2.5, 0.999999940395355224609375, 0.02020202577114105224609375
24,-0.2575757503509521484375, -0.5, -0.5, -2.9697929448957438580691814422607421875e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
25,-0.2474747598171234130859375, -0.5, -0.5, 1.1248874187685942160896956920623779296875e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
26,-0.2373737394809722900390625, -0.5, -0.5, -2.48483189579928875900804996490478515625e-09, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
27,-0.2272727191448211669921875, -0.5, -0.5, -1.417658239688535104505717754364013671875e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
28,-0.217171728610992431640625, -0.5, -0.5, 1.417658239688535104505717754364013671875e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
29,-0.20707070827484130859375, -0.5, -0.5, -4.45864379149270816105055104117127484641969203948974609375e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
30,-0.196969687938690185546875, -0.5, -0.5, -1.417658239688535104505717754364013671875e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
31,-0.1868686974048614501953125, -0.5, -0.5, 1.417658239688535104505717754364013671875e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
32,-0.1767676770687103271484375, -0.5, -0.5, -4.45864379149270816105055104117127484641969203948974609375e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
33,-0.1666666567325592041015625, -0.5, -0.5, -1.417658239688535104505717754364013671875e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
34,-0.15656566619873046875, -0.5, -0.5, 1.417658239688535104505717754364013671875e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
35,-0.146464645862579345703125, -0.5, -0.5, -4.45864379149270816105055104117127484641969203948974609375e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
36,-0.13636362552642822265625, -0.5, -0.5, -1.417658239688535104505717754364013671875e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
37,-0.1262626349925994873046875, -0.5, -0.5, 1.417658239688535104505717754364013671875e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
